year,price
2024,11.0455
2013,14.05
2014,11.72
2015,10.71
2016,9.49
2017,8.85
2018,8.7517
2019,9.1746
2020,8.3124
2021,7.6947
2022,20.4714
2023,32.1282
2024,19.2582
2013,9.9393
2014,9.24
2015,9.16
2016,6.96
2017,7.09
2018,7.9387
2019,8.2971
2020,6.8146
2021,6.0871
2022,19.4280
2023,28.4214
2024,14.9415
2015,7.8018
2016,7.1186
2017,7.2927
2018,6.7206
2019,7.3501
2020,7.3980
2021,5.1641
2022,21.0460
2023,38.5990
2024,15.6777
2013,10.6339
2014,10.2127
2015,9.6187
2016,6.2787
2017,7.2189
2018,7.5093
2019,8.9718
2020,6.7857
2021,6.5666
2022,25.1788
2023,18.2617
2024,13.3400
2013,8.39
2014,8.12
2015,7.59
2016,6.29
2017,5.89
2018,6.0849
2019,6.1856
2020,5.3364
2021,5.7612
2022,14.9381
2023,18.3058
2024,11.1049
2013,10.0622
2014,10.296
2015,10.238
2016,7.3637
2017,7.4212
2018,8.2532
2019,9.3669
2020,7.9949
2021,7.5342
2022,20.5441
2023,28.5552
2024,19.6260
2013,11.46
2014,11.63
2015,11.42
2016,9.24
2017,7.52
2018,7.4048
2019,8.6291
2020,7.3083
2021,6.2999
2022,18.6612
2023,19.6119
2024,13.0233
2013,5.7502
2014,5.9185
2015,5.7488
2016,5.3676
2017,7.1021
2018,7.1824
2019,8.6020
2020,8.1700
2021,6.5180
2022,23.0398
2023,16.1862
2024,13.0717
2013,10.5336
2014,10.3881
2015,12.6573
2016,8.4032
2017,8.6168
2018,8.9075
2019,10.8464
2020,10.0742
2021,7.9192
2022,10.2278
2023,12.9071
2024,14.3586
2013,12.7947
2014,11.3934
2015,10.0313
2016,7.9259
2017,9.0836
2018,11.3949
2019,8.7462
2020,8.4111
2021,12.4196
2022,31.8052
2023,25.3131
2024,18.9442
2013,12.38
2014,10.64
2015,8.93
2016,8.18
2017,7.19
2018,7.6043
2019,8.5024
2020,6.8561
2021,7.0634
2022,17.4890
2023,21.6889
2024,14.7364
2013,9.88
2014,9.91
2015,9.29
2016,8.11
2017,7.4748
2018,7.6680
2019,9.1350
2020,8.1430
2021,7.2580
2022,16.1410
2023,26.8480
2024,19.3280
2013,8.2623
2014,6.555
2015,7.5261
2016,6.6187
2017,5.0315
2018,4.7541
2019,5.7577
2020,5.6665
2021,4.2581
2022,14.5607
2023,14.4002
2024,8.7579
2017,7.2733
2018,6.8203
2019,7.1643
2020,4.2910
2021,6.0352
2013,9.3555
2014,9.8504
2015,9.4236
2016,7.6422
2017,6.5778
2018,6.8814
2019,7.2799
2020,6.9937
